reg_no,name,organization
"56048","Tate L Tischner","Troutman Pepper Locke LLP"
"56757","Peter Peng Zhou","Troutman Pepper Locke LLP"
"73320","Mark Yeh","KPPB LLP"
"74274","Isaac Fine","KPPB LLP"
"84270","Dvir Reif","Choate Hall & Stewart LLP"
"38419","Marina F Cunningham","McCormick Paulding & Huber PLLC"
"42342","Kenneth C. Booth","Booth Udall PLC"

"68595","Joana Soares","Jones Day"
"79412","Evan P Tassis","Jones Day"
"82840","Benjamin Van Espen","Jones Day"
"76804","John Vivian","Jones Day"
"80687","Chao Wang","Jones Day"
"47856","Tamera M Weisser","Jones Day"
"82311","Tova Werblowsky","Jones Day"
"63016","John J Williams","Jones Day"
"64629","Kunyong Yang","Jones Day"
"57083","Lin Yu","Jones Day"
"58517","Sam Lioi","Jones Day"
"84214","Shiwei Liu","Jones Day"
"52427","Steven J Corr","Jones Day"
"34146","Kevin L Daffer","K&L Gates LLP"
"26047","David R Fairbairn","Kinney & Lange, P.A."
"59994","Brian Craggs","Kinney & Lange, P.A."
"69382","Michael Phipps","Kowert, Hood, Munyon, Rankin & Goetzel, P.C."
"48177","Victoria Romney","kunzler bean & adamson"
"54491","Scott Thorpe","kunzler bean & adamson"
"58043","Daniel A Hopkinson","kunzler bean & adamson"
"30108","William Spatz","Lucas & Mercanti, LLP"
"71076","Wan Shon Lo","McDermott Will & Schulte LLP"
"78948","Samuel F","Meunier Carlin & Curfman LLC"
"76368","Michael R Laing","Michael Best & Friedrich LLP"
"77271","Gabriele Schmid","Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C."
"73750","Nicholas Stango","Morgan, Lewis & Bockius LLP"
"69452","Charles K Shih","Neal, Gerber & Eisenberg LLP"
"57630","Eric Shelton","NovoTechIP International PLLC"
"22825","Ronald L Panitch","Panitch Schwarze Belisario & Nadel, LLP"
"25918","William W Schwarze","Panitch Schwarze Belisario & Nadel, LLP"
"34279","James A Wilke","Reinhart Boerner Van Deuren s.c"
"70006","Andrew J Doyle","Reinhart Boerner Van Deuren s.c"
"65540","Mark Narveson","Squire Patton Bogg (US) LLP"
"22010","H J Staas","Staas & Halsey LLP"
"70055","Keith Vick","The Farrell Law Firm, P.C."
"74551","Jonathan T Chiang","WPAT, P.C."


83753,"Mark Williams","Alston & Bird LLP"
83922,"Christopher M Poteat","Alston & Bird LLP"
33285,"Kenneth H Sonnenfeld","Ballard Spahr LLP"
35998,"Lynn E Rzonca","Ballard Spahr LLP"
80842,"Taylor Lavender","Barnes & Thornburg LLP"
66041,"Wayne Zou","Bayes PLLC"
75965,"Nihat Deniz Bayramoglu","Bayramoglu Law Offices LLC"
72367,"Megan R Wood","Blank Rome LLP"
47419,"Mark R W Bellermann","Brake Hughes Bellermann LLP"
73680,"Alena Vackova Marconi","Brooks Kushman, P.C."
81534,"Elif Ertem Bekdemir","Cooley LLP"
